,pubchem id,common name,flavor profile
92,6584,Methyl Acetate,"{'fruity', 'sweet', 'ether', 'bitter'}"
93,6590,Isobutyric Acid,"{'rancid', 'cheese', 'strawberry', 'butter'}"
94,6654,Alpha-Pinene,"{'terpene', 'turpentine', 'sweet', 'pine', 'earthy', 'harsh', 'fresh', 'woody', 'camphor', 'minty'}"
95,6736,3-Methylindole,"{'civet', 'mothball', 'indole', 'very strong', 'animal', 'fecal'}"
96,6874,Isoamyl salicylate,"{'soapy', 'metallic', 'herbal', 'tobacco', 'wintergreen', 'orchid', 'woody', 'floral', 'bitter'}"
97,6915,2-Ethylbutyric Acid,"{'berry', 'sour', 'dry', 'whiskey', 'fruity', 'acidic', 'caramel'}"
98,6943,2-Isopropylphenol,"{'creosote', 'phenolic', 'medicinal'}"
99,6985,"2',4'-Dimethylacetophenone","{'mimosa', 'sweet', 'woody', 'floral', 'minty'}"
100,6986,2-Isopropyl-5-methylcyclohexanone,"{'mint', 'sweet', 'peppermint', 'cool', 'fresh', 'green', 'minty'}"
101,6989,Thymol,"{'herbal', 'thyme', 'phenolic', 'medicinal', 'camphor'}"
102,6998,Salicylaldehyde,"{'medical', 'wintergreen', 'cooling', 'spicy', 'cinnamon'}"
103,7002,1-Methylnaphthalene,"{'medicinal', 'chemical', 'naphthyl', 'camphor'}"
104,7043,"1,2-Dimethoxybenzene","{'sweet', 'phenolic', 'creamy', 'vanilla', 'musty'}"
105,7047,Quinoline,"{'tobacco', 'medical', 'rubber', 'earthy', 'musty'}"
106,7059,6-Methylquinoline,"{'civet', 'tobacco', 'castoreum', 'leather', 'tonka', 'fecal'}"
107,7095,Biphenyl,"{'rose', 'pungent', 'green', 'geranium'}"
108,7144,2-Methoxy-4-Methylphenol,"{'mesquite', 'clove', 'leather', 'medical', 'carnation', 'bacon', 'phenolic', 'spice', 'vanilla', 'smoky', 'medicinal', 'bitter'}"
109,7147,1-Phenyl-1-propanol,"{'balsam', 'sweet', 'floral'}"
110,7148,Propiophenone,"{'lilac', 'hawthorn'}"
111,7150,Methyl Benzoate,"{'prune', 'wintergreen', 'sweet', 'herb', 'cananga', 'almond', 'lettuce', 'phenolic', 'floral'}"
112,7151,Methyl Nicotinate,"{'warm', 'herbal', 'tobacco'}"
113,7165,Ethyl Benzoate,"{'celery', 'wintergreen', 'banana', 'minty', 'camomile', 'anise', 'flower', 'bitter', 'berry', 'grape', 'strawberry', 'cherry', 'balsam', 'sweet', 'fruity', 'plum', 'fruit', 'cranberry', 'dry', 'raspberry', 'musty'}"
114,7193,Isopentyl benzoate,"{'waxy', 'balsamic', 'sweet', 'green'}"
115,7222,Benzothiazole,"{'vegetable', 'cooked', 'gasoline', 'coffee', 'rubber', 'rubbery', 'meat', 'sulfury', 'nutty'}"
116,7249,"3,4-Dimethylphenol","{'flat', 'dry'}"
117,7267,"2,5-Dimethylphenol","{'smoke', 'sweet', 'naphthyl', 'bacon', 'phenolic'}"
118,7284,2-Methylbutyraldehyde,"{'cocoa', 'coffee', 'almond', 'musty', 'nutty'}"
119,7288,3-Pentanone,"{'ethereal', 'acetone', 'ether'}"
120,7302,gamma-Butyrolactone,"{'fatty', 'sweet', 'caramel', 'creamy', 'oily'}"
121,7341,2-Methylpentanoic acid,"{'cheese', 'sour'}"
122,7342,Ethyl Isobutyrate,"{'strawberry', 'rummy', 'fusel', 'sweet', 'rubber', 'ethereal', 'fruity', 'alcoholic'}"
123,7344,Ethyl Lactate,"{'fruit', 'sharp', 'butterscotch', 'butter', 'buttery', 'tart', 'fruity'}"
124,7351,Isobutyl isobutyrate,"{'grape skin', 'pineapple', 'tropical'}"
125,7359,2-Ethylbutanal,"{'cocoa', 'sweet', 'ethereal', 'fruity', 'green'}"
126,7360,Tetrahydrofurfuryl Alcohol,"{'vegetable', 'cauliflower', 'faint', 'warm', 'oily', 'caramel'}"
127,7361,Furfuryl Alcohol,"{'chemical', 'sweet', 'coffee', 'burnt', 'bread', 'alcoholic', 'musty', 'caramel', 'bitter'}"
128,7362,2-Furaldehyde,"{'sweet', 'bread', 'almond', 'fragrant', 'baked', 'woody'}"
129,7363,Furfuryl mercaptan,"{'fishy', 'fatty', 'chocolate', 'coffee', 'sulfurous', 'roasted', 'roast', 'burnt', 'smoky', 'sulfury', 'oily'}"
130,7409,1-Phenylethanol,"{'acetophenone', 'hyacinth', 'gardenia', 'sweet', 'fresh'}"
131,7456,Methyl 4-hydroxybenzoate,{'odorless'}
132,7460,Alpha-Phellandrene,"{'terpene', 'herbal', 'turpentine', 'mint', 'spice', 'peppery', 'woody', 'green', 'citrus'}"
133,7462,Alpha-Terpinene,"{'terpene', 'herbal', 'citrus', 'lemon', 'medicinal', 'woody', 'camphoraceous', 'bitter'}"
134,7469,4'-Hydroxyacetophenone,"{'mimosa', 'balsam', 'sweet', 'mild', 'hawthorn'}"
135,7476,4'-Methoxyacetophenone,"{'acacia', 'butter', 'balsamic', 'sweet', 'powdery', 'anisic', 'vanilla', 'hawthorn', 'caramel', 'bitter'}"
136,7501,Styrene,"{'plastic', 'gasoline', 'balsam', 'sweet', 'floral', 'balsamic'}"
137,7509,Benzyl Mercaptan,"{'alliaceous', 'sharp', 'onion', 'mint', 'coffee', 'sulfurous', 'horseradish', 'garlic'}"
138,7520,Thioanisole,"{'toluene', 'spicy', 'woody', 'solvent'}"
139,7559,Methyl Phenylacetate,"{'sweet', 'waxy', 'honey', 'almond', 'spice', 'floral'}"
140,7583,Diphenyl oxide,"{'phenolic', 'leaf', 'green', 'geranium'}"
141,7590,Ethyl Phenylacetate,"{'fruit', 'melon', 'balsam', 'cocoa', 'sweet', 'rose', 'chocolate', 'anise', 'honey', 'grapefruit', 'raspberry', 'floral', 'bitter'}"
142,7646,Benzyl isobutyrate,"{'jasmin', 'sweet', 'rose', 'tropical', 'fruity', 'jasmine', 'oily'}"
143,7650,Benzyl butyrate,"{'berry', 'jasmin', 'butter', 'logenberry', 'cheese', 'fruity', 'pear', 'plum', 'apricot', 'jasmine', 'fresh', 'peach'}"
144,7654,Phenethyl acetate,"{'tobacco', 'sweet', 'rose', 'tropical', 'honey', 'fruity', 'floral'}"
145,7655,Phenethyl isobutyrate,"{'tea', 'rose', 'pastry', 'fruity', 'peach', 'floral', 'bitter'}"
146,7658,Phenethyl butyrate,"{'yeast', 'strawberry', 'sweet', 'musty', 'floral'}"
147,7707,3-Phenylpropanal,"{'cortex', 'clove', 'strawberry', 'balsam', 'hyacinth', 'chocolate', 'honey', 'cinnamon', 'foliage', 'fresh', 'storax', 'green', 'leaf'}"
148,7708,Benzyl formate,"{'cranberry', 'black tea', 'fruity', 'almond', 'spicy', 'pineapple', 'apricot', 'floral'}"
149,7710,gamma-Nonanolactone,"{'coconut', 'buttery', 'sweet', 'waxy', 'creamy', 'peach', 'oily'}"
150,7711,2-Phenylethyl formate,"{'herbal', 'watercress', 'hyacinth', 'rose', 'green', 'bitter'}"
151,7720,2-Ethylhexan-1-ol,"{'sweet', 'rose', 'fresh', 'oily', 'floral', 'green', 'citrus'}"
152,7728,5-Ethyl-2-methylpyridine,"{'roasted', 'strong', 'earthy', 'potato', 'raw', 'nutty'}"
153,7731,4-Methylanisole,"{'cedar', 'ylang', 'cresol', 'naphthyl', 'powdery', 'camphoraceous', 'nutty'}"
154,7742,gamma-Heptalactone,"{'coconut', 'fruit', 'fat', 'hay', 'tonka', 'sweet', 'nut', 'caramel', 'nutty'}"
155,7749,Ethyl Propionate,"{'rum', 'grape', 'fruit', 'sweet', 'juicy', 'fruity', 'pineapple'}"
156,7755,3-Methylvaleric acid,"{'sharp', 'cheesy', 'fruity', 'acidic', 'animal', 'sweaty', 'green'}"
157,7761,Diethyl Malonate,"{'fruity', 'apple', 'sweet', 'green'}"
158,7762,Ethyl Butyrate,"{'cognac', 'apple', 'fruit', 'juicy', 'fruity', 'pineapple', 'banana'}"
159,7765,Acetal,"{'vegetable', 'ether', 'fruit', 'sweet', 'cream', 'tart', 'honey', 'nut', 'earthy', 'green'}"
160,7770,Propyl butyrate,"{'rancid', 'solvent', 'sweet', 'fruity', 'pineapple', 'apricot', 'sweaty'}"
161,7772,Isoamyl propionate,"{'fruit', 'ripe', 'tomato', 'sweet', 'tropical', 'fruity', 'pineapple', 'banana', 'bitter'}"
162,7775,Isobutyl hexanoate,"{'sweet', 'tropical', 'fruity', 'pineapple', 'peach', 'green'}"
163,7795,Isoamyl butyrate,"{'melon', 'papaya', 'whiskey', 'fruity', 'hop_oil', 'pear', 'banana', 'apricot', 'tropica', 'green'}"
164,7797,Ethyl Heptanoate,"{'rum', 'cognac', 'fruit', 'melon', 'fruity', 'pineapple', 'plum', 'wine'}"
165,7799,Ethyl Octanoate,"{'brandy', 'fruit', 'fat', 'sweet', 'waxy', 'fruity', 'pear', 'banana', 'apricot', 'wine'}"
166,7800,Ethyl dodecanoate,"{'soapy', 'sweet', 'clean', 'waxy', 'floral', 'leaf'}"
167,7802,3-Heptanone,"{'powerful', 'fruity', 'fatty', 'green'}"
168,7803,Propyl Propionate,"{'sharp', 'sweet', 'pungent', 'chemical', 'fruity', 'pineapple', 'bitter'}"
169,7824,Methyl Hexanoate,"{'fruit', 'sweet', 'fruity', 'pineapple', 'fresh', 'ether'}"
170,7826,Methyl Heptanoate,"{'berry', 'fruit', 'sweet', 'orris', 'waxy', 'floral', 'green'}"
171,7847,Acrolein,"{'almond', 'cherry'}"
172,7848,1-Propanethiol,"{'gassy', 'onion', 'sweet', 'natural', 'cabbage'}"
173,7858,Allyl Alcohol,"{'pungent', 'mustard'}"
174,7894,Isoamylamine,"{'ammonia', 'unpleasant'}"
175,7895,2-Pentanone,"{'fishy', 'fruit', 'sweet', 'alcohol', 'ethereal', 'fruity', 'potato', 'banana', 'wine', 'woody', 'ether'}"
176,7909,4-Methyl-2-pentanone,"{'solvent', 'herbal', 'sharp', 'fruity', 'dairy', 'spice', 'green'}"
177,7915,Isopropyl Acetate,"{'chemical', 'sweet', 'ethereal', 'fruity', 'banana'}"
178,7921,gamma-Valerolactone,"{'herbal', 'tobacco', 'cocoa', 'sweet', 'warm', 'woody'}"
179,7937,"2,6-Dimethylpyridine","{'cocoa', 'amine', 'bready', 'woody', 'oily', 'nutty'}"
180,7938,"2,6-Dimethylpyrazine","{'cocoa', 'roasted nut', 'coffee', 'roast beef', 'roasted nuts'}"
181,7945,Ethyl Isovalerate,"{'apple', 'fruit', 'sweet', 'tutti frutti', 'fruity', 'pineapple'}"
182,7957,"2,6-Dimethyl-4-heptanol","{'yeasty', 'fermented', 'ethereal', 'mild', 'fresh'}"
183,7958,"2,6-Dimethyl-4-heptanone","{'metallic', 'fruity', 'pineapple', 'banana', 'green'}"
184,7976,2-Methylpyrazine,"{'cocoa', 'chocolate', 'roasted', 'popcorn', 'nutty', 'green', 'peanut'}"
